"year","global_tas"
1981,-0.234632506966591
1982,-0.213087499141693
1983,-0.18461449444294
1984,-0.225111499428749
1985,-0.418958485126495
1986,-0.28422349691391
1987,-0.128370493650436
1988,-0.0435925014317036
1989,-0.0615375004708767
1990,-0.0748125016689301
1991,-0.31538251042366
1992,-0.462843507528305
1993,-0.239363506436348
1994,-0.275862485170364
1995,-0.0446914993226528
1996,0.181596502661705
1997,0.106309503316879
1998,0.0429245010018349
1999,0.109269499778748
2000,0.218095496296883
2001,0.152208507061005
2002,0.218797504901886
2003,0.249650493264198
2004,0.252488493919373
2005,0.399339497089386
2006,0.320756494998932
2007,0.249284505844116
2008,0.393754512071609
2009,0.528917491436005
2010,0.52302747964859
2011,0.552293479442596
2012,0.611192524433136
2013,0.593644499778748
2014,0.581010520458221
2015,0.62278950214386
2016,0.676225483417511
2017,0.606858491897583
2018,0.619432508945465
2019,0.712846517562866
2020,0.750474512577057
2021,0.607072472572327
2022,0.714555501937866
2023,0.938066482543945
2024,0.887529492378235
2025,0.927201509475708
2026,0.927293479442596
2027,0.909257471561432
2028,1.03355550765991
2029,1.1348135471344
2030,1.23726046085358
2031,1.22786152362823
2032,1.15983748435974
2033,1.14055049419403
2034,1.39659249782562
2035,1.18238949775696
2036,1.10365450382233
2037,1.26173555850983
2038,1.22880744934082
2039,1.34849750995636
2040,1.20417952537537
2041,1.24208247661591
2042,1.28007650375366
2043,1.4222275018692
2044,1.39137446880341
2045,1.47749447822571
2046,1.2764755487442
2047,1.49019050598145
2048,1.37275850772858
2049,1.44691646099091
2050,1.65196347236633
2051,1.49897944927216
2052,1.66545248031616
2053,1.60368549823761
2054,1.66414046287537
2055,1.50489950180054
2056,1.54896748065948
2057,1.68345844745636
2058,1.78267049789429
2059,1.82481551170349
2060,1.97203254699707
2061,1.93705952167511
2062,1.866166472435
2063,1.70527851581573
2064,1.78029048442841
2065,1.99952852725983
2066,1.88334846496582
2067,1.88041853904724
2068,2.02534651756287
2069,2.00706648826599
2070,2.01060652732849
2071,2.25956845283508
2072,2.09623861312866
2073,2.11760139465332
2074,1.99000751972198
2075,2.03926253318787
2076,2.22328352928162
2077,2.21226644515991
2078,2.13487458229065
2079,2.21223640441895
2080,2.23726058006287
2081,2.24482846260071
2082,2.17860555648804
2083,2.24589657783508
2084,2.27287459373474
2085,2.24415755271912
2086,2.24522542953491
2087,2.21147346496582
2088,2.35878157615662
2089,2.1707935333252
2090,2.20259261131287
2091,2.36595344543457
2092,2.32917952537537
2093,2.19398641586304
2094,2.05858039855957
2095,2.37111043930054
2096,2.39753842353821
2097,2.29454255104065
2098,2.20240950584412
2099,2.36778450012207
